rang,id,naslov,tip,st_epizod,leto,ogledi,ocena
530,#area2150,Tanoshii Muumin Ikka,TV,78,1990,11028,8.0
531,#area6586,Yume-iro Pâtissière,TV,50,2009,48042,8.0
532,#area9513,Beelzebub,TV,60,2011,327707,8.0
533,#area73,Full Metal Panic! The Second Raid,TV,13,2005,194646,8.0
534,#area29095,Grisaia no Rakuen,TV,10,2015,202375,8.0
535,#area387,Haibane Renmei,TV,13,2002,162333,8.0
536,#area27989,Hibike! Euphonium,TV,13,2015,223520,8.0
538,#area2829,Ie Naki Ko Remy,TV,23,1996,10448,8.0
539,#area1594,Jigoku Shoujo Futakomori,TV,26,2006,106017,8.0
541,#area1088,Macross,TV,36,1982,62956,8.0
542,#area10721,Mawaru Penguindrum,TV,24,2011,201891,8.0
543,#area31251,Mobile Suit Gundam: Iron-Blooded Orphans,TV,25,2015,110580,8.0
545,#area3588,Soul Eater,TV,51,2008,849334,8.0
546,#area2618,Takarajima,TV,26,1978,9339,8.0
547,#area32093,Tanaka-kun wa Itsumo Kedaruge,TV,12,2016,187226,8.0
550,#area30279,Yuru Yuri San☆Hai!,TV,12,2015,72595,8.0
554,#area27775,Plastic Memories,TV,13,2015,387596,8.0
555,#area24,School Rumble,TV,26,2004,225155,8.0
557,#area6582,Tentai Senshi Sunred 2nd Season,TV,26,2009,5795,8.0
559,#area28,Yakitate!! Japan,TV,69,2004,65404,8.0
563,#area9289,Hanasaku Iroha,TV,26,2011,207767,8.0
565,#area13331,Jormungand: Perfect Order,TV,12,2012,114947,8.0
568,#area17549,Non Non Biyori,TV,12,2013,209230,8.0
569,#area339,Serial Experiments Lain,TV,13,1998,318498,8.0
570,#area12815,Shirokuma Cafe,TV,50,2012,59987,8.0
571,#area22,Tennis no Ouji-sama,TV,178,2001,112794,8.0
572,#area2158,Terra e... (TV),TV,24,2007,45377,8.0
573,#area996,Bishoujo Senshi Sailor Moon: Sailor Stars,TV,34,1996,66194,7.9
574,#area1470,City Hunter,TV,51,1987,31593,7.9
579,#area85,Mobile Suit Zeta Gundam,TV,50,1985,40330,7.9
580,#area114,Sakigake!! Cromartie Koukou,TV,26,2003,90270,7.9
581,#area22319,Tokyo Ghoul,TV,12,2014,1123638,7.9
582,#area658,Touhai Densetsu Akagi: Yami ni Maiorita Tensai,TV,26,2005,64779,7.9
583,#area37786,Yagate Kimi ni Naru,TV,13,2018,66668,7.9
585,#area790,Ergo Proxy,TV,23,2006,365542,7.9
590,#area3228,Zoku Sayonara Zetsubou Sensei,TV,13,2008,91122,7.9
593,#area2035,Eikoku Koi Monogatari Emma: Molders-hen,TV,12,2007,15967,7.9
595,#area4898,Kuroshitsuji,TV,24,2008,601819,7.9
596,#area3572,Macross F,TV,25,2008,113129,7.9
598,#area35073,Overlord II,TV,13,2018,316683,7.9
600,#area2605,Sayonara Zetsubou Sensei,TV,12,2007,225155,7.9
603,#area849,Suzumiya Haruhi no Yuuutsu,TV,14,2006,576599,7.9
604,#area1485,Akachan to Boku,TV,35,1996,12094,7.9
610,#area15809,Hataraku Maou-sama!,TV,13,2013,690113,7.9
612,#area3092,Junjou Romantica,TV,12,2008,153801,7.9
613,#area19111,Love Live! School Idol Project 2nd Season,TV,13,2014,150865,7.9
618,#area6377,Zan Sayonara Zetsubou Sensei,TV,13,2009,70039,7.9
623,#area7062,Hidamari Sketch x ☆☆☆,TV,12,2010,19289,7.9
624,#area11239,Hidamari Sketch x Honeycomb,TV,12,2012,15811,7.9
625,#area27947,Lupin III (2015),TV,24,2015,32542,7.9
626,#area25517,Magic Kaito 1412,TV,24,2014,66374,7.9
629,#area1254,Saint Seiya,TV,114,1986,103808,7.9
630,#area400,Seihou Bukyou Outlaw Star,TV,24,1998,100916,7.9
632,#area10521,Working&#039;!!,TV,13,2011,167215,7.9
635,#area967,Hokuto no Ken,TV,109,1984,67724,7.9
637,#area1695,Les Misérables: Shoujo Cosette,TV,52,2007,14220,7.9
639,#area34745,Mahoujin Guruguru (2017),TV,24,2017,21540,7.9
640,#area17909,Uchouten Kazoku,TV,13,2013,109235,7.9
642,#area21185,Baby Steps,TV,25,2014,90373,7.9
645,#area29787,Gochuumon wa Usagi Desu ka??,TV,12,2015,68240,7.9
